raw,filtered,n_blinks
-1722340,-291030.2597561534,0
-1736736,-956165.0107916244,0
-1684890,-1338671.1855754766,0
-1668164,-1185798.5019267478,0
-1723512,-877531.4678750929,0
-1740666,-608866.0342896665,0
-1682102,-367004.7645983757,0
-1666022,-166486.69652749324,0
-1718246,-71153.93484467288,0
-1742344,-44784.30615290519,0
-1679306,42003.37374423626,0
-1661066,214333.38468503364,0
-1719866,335837.92838666996,0
-1735078,322864.48295588244,0
-1681258,279586.6578422295,0
-1666350,325938.4706303488,0
-1718400,418144.6502025711,0
-1733684,441166.94068198773,0
-1675418,388620.555057585,0
-1656214,346143.1848552123,0
-1723432,349864.5476984271,0
-1733604,364495.9670524826,0
-1679554,358709.7469607778,0
-1661754,323067.88359233213,0
-1713930,265075.8659924499,0
-1733746,222653.00591595378,0
-1680458,229715.18205987796,0
-1659350,250798.22266898962,0
-1718072,211565.1335728041,0
-1744842,121003.43175119848,0
-1678732,81118.44837348573,0
-1656540,125102.82653551208,0
-1716940,149715.71752120307,0
-1740402,84601.33995579416,0
-1676420,10584.890574270488,0
-1660392,17254.16884694768,0
-1711964,58881.34205791531,0
-1738390,48176.36311623633,0
-1675088,-1699.675997041274,0
-1650346,-21848.93541740525,0
-1715672,-9690.422717118521,0
-1732952,-6314.91534047425,0
-1673026,-11748.020336641759,0
-1655936,-13566.385853690586,0
-1715754,-28059.115890576344,0
-1735580,-51456.97260692375,1
-1682306,-44857.76643130868,1
-1657392,-10426.030133561637,1
-1714848,-7264.199064636676,1
-1731448,-47886.7310971507,1
-1677956,-62279.30579858949,1
-1660394,-19887.213773173233,1
-1715360,9767.34936299493,1
-1733422,-21107.344320388584,1
-1678512,-54566.34501054727,2
-1649366,-30649.596461994406,2
-1722282,6996.816977751434,2
-1728682,-2245.763965213918,2
-1675214,-27247.837463283693,2
-1657116,-20147.955271105406,2
-1718054,-3173.3037759800936,2
-1729670,-8104.547696923941,2
-1682380,-14295.708361864905,2
-1661828,-2207.432846971413,2
-1716854,1927.7306191837024,2
-1737578,-16368.06172066291,2
-1678678,-19655.818601295417,2
-1662884,8670.584536741711,2
-1716860,20167.168564808,2
-1728478,-6957.292229434186,2
-1677514,-20636.918291971884,2
-1661588,7323.961806926609,2
-1710862,27705.441494581944,2
-1734888,4335.0159073060895,2
-1674958,-18657.09073965565,2
-1662746,-204.13180054263262,2
-1718308,20010.039054623754,2
-1732148,3536.1648545711732,2
-1672072,-12674.641117177624,2
-1658624,4685.106863984306,2
-1707140,20590.271898873827,2
-1724244,5470.285140837561,2
-1660326,-5502.754992741093,2
-1631204,17212.27579889867,2
-1669882,37771.512004985125,2
-1690372,23865.82121997865,2
-1626872,10300.310402024676,2
-1601600,29626.67619768952,2
-1649596,44521.04831684696,2
-1672938,21031.58028645445,2
-1614440,-1689.3711863506242,2
-1606858,10389.924528390191,2
-1664810,17970.485473922716,2
-1683698,-9115.945593870329,2
-1635666,-30629.875798157413,2
-1618436,-16038.799285496552,2
-1674322,-2970.2145058702945,2
-1701032,-23578.00104881511,2
-1644758,-40317.284621744366,3
-1633768,-21330.785539218217,3
-1693934,-7584.445002585291,3
-1717288,-30598.531522626625,3
-1661762,-46862.469578764074,3
-1635316,-20968.4940602869,3
-1697932,3460.612410972216,3
-1724648,-15010.553015651174,3
-1667118,-35194.23603780017,3
-1650182,-15396.460959515334,3
-1702042,6964.648759352649,3
-1732952,-7443.308773267345,3
-1678922,-25270.536502256226,3
-1657836,-8902.71871202789,3
-1718874,8526.691666261504,3
-1745870,-8229.7852905767,3
-1695504,-23901.305136118746,3
-1677226,-5931.474753804807,3
-1736918,8397.775929484,3
-1757722,-11031.628443431693,3
-1704804,-23224.238048251194,3
-1688552,1626.237644430491,3
-1742516,19875.05943967037,3
-1766102,-1398.8213026167446,3
-1711960,-19044.61285078457,3
-1688034,4791.035685814515,3
-1742524,29217.983870216456,3
-1767092,12275.166895667304,3
-1708154,-8460.349867182093,3
-1687480,9124.201268072788,3
-1737678,30953.218465036603,3
-1762674,17559.566483486597,3
-1699772,864.2914737788014,3
-1685410,15619.57162027195,3
-1739688,28257.888768849814,3
-1753840,10517.839431498378,3
-1700390,-1267.7346945675422,3
-1685196,16756.754419759567,3
-1727490,27538.604056702567,3
-1760202,5436.017387024624,3
-1699598,-10837.478995366608,3
-1676680,10929.827963837435,3
-1723396,29567.805197297574,3
-1749462,7920.990361976582,3
-1693788,-13202.96283380683,3
-1670216,6171.829266559735,3
-1718630,27640.754517672958,3
-1747972,8360.513947814472,3
-1688162,-15955.125206630588,3
-1667970,-1592.144106067459,3
-1720262,18313.504198334882,3
-1738720,4029.142503305743,3
-1682356,-13003.902253867556,3
-1664700,737.6997005648932,3
-1713178,14344.862440987976,3
-1734652,-1296.1348423632821,3
-1693920,-16478.87957535459,3
-1670742,-4290.750353141954,3
-1721172,5426.874465824001,3
-1738088,-12748.394788284999,3
-1686728,-23292.786665029016,3
-1667588,18.263349297427226,3
-1719258,15895.007747814521,3
-1737970,-6340.78976001201,3
-1684586,-24396.12763039886,3
-1659248,-1985.4993734993936,3
-1715284,20333.91088379983,3
-1736040,2140.9218745135813,3
-1676044,-18349.93822624113,3
-1654500,-522.7727152583556,3
-1713206,18985.20258289194,3
-1735850,1689.5009664848321,3
-1677776,-16943.50416036509,3
-1661616,-2114.116959400188,3
-1712550,11855.700718869937,3
-1741950,-6239.201800155417,3
-1681558,-20756.48043602665,3
-1654784,417.5772761010102,3
-1711406,17840.786945883385,3
-1732618,-2455.863636220226,3
